位置 (米 m) 运行#1,相对强度 运行#1,位置 (米 m) 运行#2,相对强度 运行#2,位置 (米 m) 运行#3,相对强度 运行#3,位置 (米 m) 运行#4,相对强度 运行#4
-1.5780E-4,0.051254,-1.3808E-4,0.038147,0.0000,0.025116,-1.1835E-4,0.025528
-1.5780E-4,0.050140,-1.3808E-4,0.040482,0.0000,0.023895,-1.1835E-4,0.023590
-1.5780E-4,0.048004,-1.3808E-4,0.040375,0.0000,0.021255,-1.1835E-4,0.022369
-1.5780E-4,0.053802,-1.3808E-4,0.038849,0.0000,0.025330,-1.1835E-4,0.023697
-1.5780E-4,0.054718,-1.3808E-4,0.038651,0.0000,0.023590,-1.1835E-4,0.022980
-1.5780E-4,0.048920,-1.3808E-4,0.041092,0.0000,0.022583,-1.1835E-4,0.022583
-1.5780E-4,0.051773,-1.3808E-4,0.041199,0.0000,0.022369,-1.1835E-4,0.021759
-1.5780E-4,0.051971,-1.3808E-4,0.039871,0.0000,0.022476,-1.3808E-4,0.023697
-1.5780E-4,0.051880,-1.3808E-4,0.038147,0.0000,0.025330,-1.3808E-4,0.023285
-1.5780E-4,0.049133,-1.3808E-4,0.040482,0.0000,0.023087,-1.3808E-4,0.023193
-1.5780E-4,0.049225,-1.3808E-4,0.040482,0.0000,0.020844,-1.3808E-4,0.021866
-1.5780E-4,0.052582,-1.3808E-4,0.040894,0.0000,0.024612,-1.3808E-4,0.024918
-1.3808E-4,0.056046,-1.3808E-4,0.039673,0.0000,0.023392,-1.3808E-4,0.024612
-1.3808E-4,0.049438,-1.3808E-4,0.039871,0.0000,0.023499,-1.3808E-4,0.022781
-1.3808E-4,0.048004,-1.3808E-4,0.040176,0.0000,0.022781,-1.3808E-4,0.023590
-1.1835E-4,0.053711,-1.3808E-4,0.040588,0.0000,0.021973,-1.3808E-4,0.023499
-1.1835E-4,0.053299,-1.3808E-4,0.037628,0.0000,0.022888,-1.3808E-4,0.022980
-9.8625E-5,0.048523,-1.3808E-4,0.040070,0.0000,0.021454,-1.3808E-4,0.022980
-7.8900E-5,0.050858,-1.3808E-4,0.040680,0.0000,0.022476,-1.3808E-4,0.022278
-5.9175E-5,0.054626,-1.3808E-4,0.039062,0.0000,0.022064,-1.3808E-4,0.023895
-3.9450E-5,0.056961,-1.3808E-4,0.038544,0.0000,0.023499,-1.3808E-4,0.024612
-1.9725E-5,0.049438,-1.3808E-4,0.039871,0.0000,0.022583,-1.3808E-4,0.023087
1.9725E-5,0.049438,-1.3808E-4,0.040482,0.0000,0.022171,-1.3808E-4,0.022781
3.9450E-5,0.054214,-1.3808E-4,0.040482,0.0000,0.023895,-1.3808E-4,0.024918
7.8900E-5,0.054825,-1.3808E-4,0.038452,0.0000,0.025024,-1.3808E-4,0.023697
9.8625E-5,0.048920,-1.3808E-4,0.041092,0.0000,0.023392,-1.3808E-4,0.023499
1.3807E-4,0.051468,-1.3808E-4,0.040283,0.0000,0.021667,-1.3808E-4,0.022675
1.7752E-4,0.055130,-1.3808E-4,0.040894,0.0000,0.022781,-1.3808E-4,0.024918
1.9725E-4,0.056046,-1.3808E-4,0.038147,0.0000,0.025726,-1.3808E-4,0.025940
2.5643E-4,0.049942,-1.3808E-4,0.040375,0.0000,0.023285,-1.3808E-4,0.022583
2.9588E-4,0.050446,-1.3808E-4,0.040894,0.0000,0.021362,-1.3808E-4,0.023590
3.3533E-4,0.053101,-1.3808E-4,0.039978,0.0000,0.022583,-1.3808E-4,0.024811
3.7478E-4,0.053497,-1.3808E-4,0.038544,0.0000,0.023590,-1.3808E-4,0.023895
4.1422E-4,0.050354,-1.3808E-4,0.040176,0.0000,0.025421,-1.3808E-4,0.023087
4.7340E-4,0.050354,-1.3808E-4,0.041092,0.0000,0.022369,-1.3808E-4,0.023590
5.1285E-4,0.051971,-1.3808E-4,0.041809,0.0000,0.021454,-1.3808E-4,0.024719
5.5230E-4,0.052887,-1.3808E-4,0.039764,0.0000,0.023895,-1.3808E-4,0.024109
