datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO
2026-03-24 19:00:00,13.6,82,9.4,53.01333333333332,64.78666666666668,73.93,41.166666666666664,3.0066666666666673,0.5733333333333334
2026-03-24 20:00:00,12.1,88,9.2,57.22666666666665,70.64666666666668,69.03,45.50666666666666,3.0066666666666673,0.5853333333333334
2026-03-24 21:00:00,11.0,92,8.5,59.27333333333332,73.68666666666668,67.03,47.57999999999999,3.0066666666666673,0.6753333333333333
2026-03-24 22:00:00,10.3,96,7.6,61.319999999999986,76.72666666666669,65.03,49.65333333333332,3.0066666666666673,0.7486666666666667
2026-03-24 23:00:00,9.9,98,9.0,63.86,85.92,60.0,37.986666666666665,2.0,0.48733333333333334
2026-03-25 00:00:00,9.6,100,10.2,64.72,87.07333333333334,59.0,38.97333333333333,2.0,0.5106666666666666
2026-03-25 01:00:00,9.4,100,8.0,65.58,88.11333333333334,58.0,39.959999999999994,2.0,0.5573333333333332
2026-03-25 02:00:00,9.2,100,4.5,66.40666666666667,89.07333333333334,57.0,40.94666666666666,2.0,0.5706666666666667
2026-03-25 03:00:00,9.1,100,2.5,67.26,89.21333333333334,56.013333333333335,40.99999999999999,2.0,0.6653333333333332
2026-03-25 04:00:00,9.3,100,0.0,66.16666666666667,89.10000000000001,56.553333333333335,40.30666666666666,2.0,0.5653333333333332
2026-03-25 05:00:00,9.9,99,1.9,62.973333333333336,86.52000000000001,59.906666666666666,37.43999999999999,2.0,0.46533333333333327
2026-03-25 06:00:00,11.1,92,1.8,58.973333333333336,81.91333333333334,66.70666666666666,32.71999999999999,2.0,0.38199999999999995
2026-03-25 07:00:00,12.7,85,4.8,54.973333333333336,73.81333333333335,73.50666666666666,27.999999999999993,2.0,0.30066666666666664
2026-03-25 08:00:00,14.3,78,6.3,50.973333333333336,65.71333333333335,80.30666666666666,23.22666666666666,2.0,0.21933333333333332
2026-03-25 09:00:00,15.9,71,4.1,46.973333333333336,57.493333333333354,87.20666666666666,18.453333333333326,2.0,0.142
2026-03-25 10:00:00,17.3,65,5.9,42.973333333333336,49.486666666666686,94.18666666666667,13.679999999999993,2.1733333333333333,0.06466666666666668
2026-03-25 11:00:00,18.4,60,6.9,38.973333333333336,45.26000000000002,91.45,24.483333333333334,2.2733333333333334,0.3
2026-03-25 12:00:00,19.1,57,5.8,35.78,41.10666666666668,95.46333333333334,22.2,2.3733333333333335,0.26
2026-03-25 13:00:00,19.4,56,4.0,34.78,38.88000000000002,98.71666666666667,21.2,2.4200000000000004,0.25
2026-03-25 14:00:00,19.5,55,7.4,34.39333333333334,38.72666666666668,98.88333333333334,20.56,2.4666666666666672,0.22066666666666665
2026-03-25 15:00:00,19.2,57,8.9,35.39333333333334,40.65333333333335,97.88333333333334,21.56,2.513333333333334,0.256
2026-03-25 16:00:00,18.4,60,10.6,38.39333333333334,44.65333333333335,93.41666666666667,24.56,2.6066666666666674,0.356
2026-03-25 17:00:00,17.1,66,12.1,42.70666666666667,50.280000000000015,87.85666666666667,29.02,3.0066666666666673,0.45466666666666666
2026-03-25 18:00:00,15.4,74,9.7,48.24,58.46666666666668,80.17,35.166666666666664,3.0066666666666673,0.5546666666666668
2026-03-25 19:00:00,13.7,82,2.4,54.04666666666667,66.79333333333335,73.93,41.166666666666664,3.0066666666666673,0.5733333333333334
2026-03-25 20:00:00,12.2,88,0.9,58.26,72.77333333333335,69.03,45.50666666666666,3.0066666666666673,0.5853333333333334
2026-03-25 21:00:00,11.1,92,2.5,60.306666666666665,75.81333333333336,67.03,47.57999999999999,3.0066666666666673,0.6753333333333333
2026-03-25 22:00:00,10.4,96,0.4,62.32666666666667,78.85333333333337,65.03,49.65333333333332,3.0066666666666673,0.7486666666666667
2026-03-25 23:00:00,10.0,98,3.1,64.84,87.92,59.0,37.986666666666665,2.0,0.48733333333333334
2026-03-26 00:00:00,9.7,100,2.7,65.7,89.07333333333334,58.0,38.97333333333333,2.0,0.5106666666666666
2026-03-26 01:00:00,9.5,100,5.2,66.55333333333334,90.11333333333334,57.0,39.959999999999994,2.0,0.5573333333333332
2026-03-26 02:00:00,9.3,100,7.2,67.38666666666667,91.07333333333334,56.0,40.94666666666666,2.0,0.5706666666666667
